,author,date,review,rating,cleaned_review,Reviews_Token,Reviews_Lemm
13,Prasoeur Suon,a year ago,worst first set appointment employee stopped working second employee day appointment rate higher institutions sure branch scotiabank general like business poor service,1,worst first set appoint employe stop work second employe day appoint rate higher institut sure branch scotiabank gener like busi poor servic,"['worst', 'first', 'set', 'appointment', 'employee', 'stopped', 'working', 'second', 'employee', 'day', 'appointment', 'rate', 'higher', 'institutions', 'sure', 'branch', 'scotiabank', 'general', 'like', 'business', 'poor', 'service']","['bad', 'first', 'set', 'appointment', 'employee', 'stop', 'work', 'second', 'employee', 'day', 'appointment', 'rate', 'high', 'institution', 'sure', 'branch', 'scotiabank', 'general', 'like', 'business', 'poor', 'service']"
14,Luke Maynard,2 years ago,edit first moved called toxic branch impossible hours know come new management branch completely renovated transformed top bottom given best extended hours bank branch anywhere toronto least favourite branch space two years completely turned around highly recommended last months let hope keep everything great reviews point used like,5,edit first move call toxic branch imposs hour know come new manag branch complet renov transform top bottom given best extend hour bank branch anywher toronto least favourit branch space two year complet turn around highli recommend last month let hope keep everyth great review point use like,"['edit', 'first', 'moved', 'called', 'toxic', 'branch', 'impossible', 'hours', 'know', 'come', 'new', 'management', 'branch', 'completely', 'renovated', 'transformed', 'top', 'bottom', 'given', 'best', 'extended', 'hours', 'bank', 'branch', 'anywhere', 'toronto', 'least', 'favourite', 'branch', 'space', 'two', 'years', 'completely', 'turned', 'around', 'highly', 'recommended', 'last', 'months', 'let', 'hope', 'keep', 'everything', 'great', 'reviews', 'point', 'used', 'like']","['edit', 'first', 'move', 'call', 'toxic', 'branch', 'impossible', 'hour', 'know', 'come', 'new', 'management', 'branch', 'completely', 'renovate', 'transformed', 'top', 'bottom', 'give', 'best', 'extended', 'hour', 'bank', 'branch', 'anywhere', 'toronto', 'least', 'favourite', 'branch', 'space', 'two', 'year', 'completely', 'turn', 'around', 'highly', 'recommend', 'last', 'month', 'let', 'hope', 'keep', 'everything', 'great', 'review', 'point', 'use', 'like']"
15,M M,4 years ago,terrible service unprofessional told look bank products online teller would ever say customer branch going branch face face interaction know bank products need ask customer look online terrible way resolve inquiry called line go desk ready help fidgeting money tasks would fine wait line teller ready help yet instead called go still working unfinished tasks standing another minutes initial question poorly trained staff perhaps unlucky day visiting scotiabank branch,1,terribl servic unprofession told look bank product onlin teller would ever say custom branch go branch face face interact know bank product need ask custom look onlin terribl way resolv inquiri call line go desk readi help fidget money task would fine wait line teller readi help yet instead call go still work unfinish task stand anoth minut initi question poorli train staff perhap unlucki day visit scotiabank branch,"['terrible', 'service', 'unprofessional', 'told', 'look', 'bank', 'products', 'online', 'teller', 'would', 'ever', 'say', 'customer', 'branch', 'going', 'branch', 'face', 'face', 'interaction', 'know', 'bank', 'products', 'need', 'ask', 'customer', 'look', 'online', 'terrible', 'way', 'resolve', 'inquiry', 'called', 'line', 'go', 'desk', 'ready', 'help', 'fidgeting', 'money', 'tasks', 'would', 'fine', 'wait', 'line', 'teller', 'ready', 'help', 'yet', 'instead', 'called', 'go', 'still', 'working', 'unfinished', 'tasks', 'standing', 'another', 'minutes', 'initial', 'question', 'poorly', 'trained', 'staff', 'perhaps', 'unlucky', 'day', 'visiting', 'scotiabank', 'branch']","['terrible', 'service', 'unprofessional', 'tell', 'look', 'bank', 'product', 'online', 'teller', 'would', 'ever', 'say', 'customer', 'branch', 'go', 'branch', 'face', 'face', 'interaction', 'know', 'bank', 'product', 'need', 'ask', 'customer', 'look', 'online', 'terrible', 'way', 'resolve', 'inquiry', 'call', 'line', 'go', 'desk', 'ready', 'help', 'fidget', 'money', 'task', 'would', 'fine', 'wait', 'line', 'teller', 'ready', 'help', 'yet', 'instead', 'call', 'go', 'still', 'work', 'unfinished', 'task', 'stand', 'another', 'minute', 'initial', 'question', 'poorly', 'trained', 'staff', 'perhaps', 'unlucky', 'day', 'visit', 'scotiabank', 'branch']"
16,Mike B,a year ago,teller told us show minutes close finished transaction employee yelled us ushered us wrong location calling head office report behaviour clients joke,1,teller told us show minut close finish transact employe yell us usher us wrong locat call head offic report behaviour client joke,"['teller', 'told', 'us', 'show', 'minutes', 'close', 'finished', 'transaction', 'employee', 'yelled', 'us', 'ushered', 'us', 'wrong', 'location', 'calling', 'head', 'office', 'report', 'behaviour', 'clients', 'joke']","['teller', 'tell', 'us', 'show', 'minute', 'close', 'finished', 'transaction', 'employee', 'yell', 'us', 'usher', 'us', 'wrong', 'location', 'call', 'head', 'office', 'report', 'behaviour', 'client', 'joke']"
17,V K,4 years ago,inconvenient hours unhelpful inflexible staff credit cards mortgage thru based deplorable customer service received never business going insist visit branch every tiny thing need make hours realistic working professional make bank,1,inconveni hour unhelp inflex staff credit card mortgag thru base deplor custom servic receiv never busi go insist visit branch everi tini thing need make hour realist work profession make bank,"['inconvenient', 'hours', 'unhelpful', 'inflexible', 'staff', 'credit', 'cards', 'mortgage', 'thru', 'based', 'deplorable', 'customer', 'service', 'received', 'never', 'business', 'going', 'insist', 'visit', 'branch', 'every', 'tiny', 'thing', 'need', 'make', 'hours', 'realistic', 'working', 'professional', 'make', 'bank']","['inconvenient', 'hour', 'unhelpful', 'inflexible', 'staff', 'credit', 'card', 'mortgage', 'thru', 'base', 'deplorable', 'customer', 'service', 'receive', 'never', 'business', 'go', 'insist', 'visit', 'branch', 'every', 'tiny', 'thing', 'need', 'make', 'hour', 'realistic', 'work', 'professional', 'make', 'bank']"
18,Naser Deen,3 years ago,bank sharp decline purchased airline ticket usd exchange rate absolutely disgusting done anything special deduct extra checking account another issue called multiple times told resolved issue confirmation number waited couple days see reflection checking account nothing wasted effort time voice mental nothing think people start suing bank nova scotia terrible careless mangers seen country love rip people unnecessarily fees high exchange rates high interest rate yet delivering service greyhound bus company sign deal tell people around avoid institution even scene points declined free movie without explanation get,1,bank sharp declin purchas airlin ticket usd exchang rate absolut disgust done anyth special deduct extra check account anoth issu call multipl time told resolv issu confirm number wait coupl day see reflect check account noth wast effort time voic mental noth think peopl start su bank nova scotia terribl careless manger seen countri love rip peopl unnecessarili fee high exchang rate high interest rate yet deliv servic greyhound bu compani sign deal tell peopl around avoid institut even scene point declin free movi without explan get,"['bank', 'sharp', 'decline', 'purchased', 'airline', 'ticket', 'usd', 'exchange', 'rate', 'absolutely', 'disgusting', 'done', 'anything', 'special', 'deduct', 'extra', 'checking', 'account', 'another', 'issue', 'called', 'multiple', 'times', 'told', 'resolved', 'issue', 'confirmation', 'number', 'waited', 'couple', 'days', 'see', 'reflection', 'checking', 'account', 'nothing', 'wasted', 'effort', 'time', 'voice', 'mental', 'nothing', 'think', 'people', 'start', 'suing', 'bank', 'nova', 'scotia', 'terrible', 'careless', 'mangers', 'seen', 'country', 'love', 'rip', 'people', 'unnecessarily', 'fees', 'high', 'exchange', 'rates', 'high', 'interest', 'rate', 'yet', 'delivering', 'service', 'greyhound', 'bus', 'company', 'sign', 'deal', 'tell', 'people', 'around', 'avoid', 'institution', 'even', 'scene', 'points', 'declined', 'free', 'movie', 'without', 'explanation', 'get']","['bank', 'sharp', 'decline', 'purchase', 'airline', 'ticket', 'usd', 'exchange', 'rate', 'absolutely', 'disgust', 'do', 'anything', 'special', 'deduct', 'extra', 'checking', 'account', 'another', 'issue', 'call', 'multiple', 'time', 'tell', 'resolve', 'issue', 'confirmation', 'number', 'wait', 'couple', 'day', 'see', 'reflection', 'check', 'account', 'nothing', 'waste', 'effort', 'time', 'voice', 'mental', 'nothing', 'think', 'people', 'start', 'sue', 'bank', 'nova', 'scotia', 'terrible', 'careless', 'manger', 'see', 'country', 'love', 'rip', 'people', 'unnecessarily', 'fee', 'high', 'exchange', 'rate', 'high', 'interest', 'rate', 'yet', 'deliver', 'service', 'greyhound', 'bus', 'company', 'sign', 'deal', 'tell', 'people', 'around', 'avoid', 'institution', 'even', 'scene', 'point', 'decline', 'free', 'movie', 'without', 'explanation', 'get']"
19,Inácia Lopes,3 years ago,happy customer service today specially bank power couple minutes time staff calm kind waited around minutes left bank smile,4,happi custom servic today special bank power coupl minut time staff calm kind wait around minut left bank smile,"['happy', 'customer', 'service', 'today', 'specially', 'bank', 'power', 'couple', 'minutes', 'time', 'staff', 'calm', 'kind', 'waited', 'around', 'minutes', 'left', 'bank', 'smile']","['happy', 'customer', 'service', 'today', 'specially', 'bank', 'power', 'couple', 'minute', 'time', 'staff', 'calm', 'kind', 'wait', 'around', 'minute', 'leave', 'bank', 'smile']"
20,Hollywood 1892,3 years ago,bank deal copious amounts money understand bad reviews customers really shallow bank manager knows take pride excellent service provide customers two financial situations could proved costly bailed excellent bank shame whiners posted negative reviews,5,bank deal copiou amount money understand bad review custom realli shallow bank manag know take pride excel servic provid custom two financi situat could prove costli bail excel bank shame whiner post neg review,"['bank', 'deal', 'copious', 'amounts', 'money', 'understand', 'bad', 'reviews', 'customers', 'really', 'shallow', 'bank', 'manager', 'knows', 'take', 'pride', 'excellent', 'service', 'provide', 'customers', 'two', 'financial', 'situations', 'could', 'proved', 'costly', 'bailed', 'excellent', 'bank', 'shame', 'whiners', 'posted', 'negative', 'reviews']","['bank', 'deal', 'copious', 'amount', 'money', 'understand', 'bad', 'review', 'customer', 'really', 'shallow', 'bank', 'manager', 'know', 'take', 'pride', 'excellent', 'service', 'provide', 'customer', 'two', 'financial', 'situation', 'could', 'prove', 'costly', 'bail', 'excellent', 'bank', 'shame', 'whiner', 'post', 'negative', 'review']"
21,Georgio Galiano (Geo),3 years ago,considering branch entire bloor yonge yorkville area atms usually broken service envelopes short business hours highest rating could give people working nice helpful abscence functional atms fact short staffed unbelievably long line ups short business hours frustrating interesting spoke someone head office trying address issues impression interested serving customers problem appears higher level told people mostly mobile banking nowadays branches atms basically needed could deposit mobile phone go store bay st take money fact business account need deposit cash end day interest,1,consid branch entir bloor yong yorkvil area atm usual broken servic envelop short busi hour highest rate could give peopl work nice help abscenc function atm fact short staf unbeliev long line up short busi hour frustrat interest spoke someon head offic tri address issu impress interest serv custom problem appear higher level told peopl mostli mobil bank nowaday branch atm basic need could deposit mobil phone go store bay st take money fact busi account need deposit cash end day interest,"['considering', 'branch', 'entire', 'bloor', 'yonge', 'yorkville', 'area', 'atms', 'usually', 'broken', 'service', 'envelopes', 'short', 'business', 'hours', 'highest', 'rating', 'could', 'give', 'people', 'working', 'nice', 'helpful', 'abscence', 'functional', 'atms', 'fact', 'short', 'staffed', 'unbelievably', 'long', 'line', 'ups', 'short', 'business', 'hours', 'frustrating', 'interesting', 'spoke', 'someone', 'head', 'office', 'trying', 'address', 'issues', 'impression', 'interested', 'serving', 'customers', 'problem', 'appears', 'higher', 'level', 'told', 'people', 'mostly', 'mobile', 'banking', 'nowadays', 'branches', 'atms', 'basically', 'needed', 'could', 'deposit', 'mobile', 'phone', 'go', 'store', 'bay', 'st', 'take', 'money', 'fact', 'business', 'account', 'need', 'deposit', 'cash', 'end', 'day', 'interest']","['consider', 'branch', 'entire', 'bloor', 'yonge', 'yorkville', 'area', 'atm', 'usually', 'broken', 'service', 'envelop', 'short', 'business', 'hour', 'high', 'rating', 'could', 'give', 'people', 'work', 'nice', 'helpful', 'abscence', 'functional', 'atm', 'fact', 'short', 'staffed', 'unbelievably', 'long', 'line', 'ups', 'short', 'business', 'hour', 'frustrate', 'interest', 'speak', 'someone', 'head', 'office', 'try', 'address', 'issue', 'impression', 'interested', 'serving', 'customer', 'problem', 'appear', 'high', 'level', 'tell', 'people', 'mostly', 'mobile', 'banking', 'nowadays', 'branch', 'atms', 'basically', 'need', 'could', 'deposit', 'mobile', 'phone', 'go', 'store', 'bay', 'st', 'take', 'money', 'fact', 'business', 'account', 'need', 'deposit', 'cash', 'end', 'day', 'interest']"
23,Hemal Parikh,a year ago,horrible telephone service employee pick phone responded clearly understand receiver clearly hear want respond divert another number changed bank sure,1,horribl telephon servic employe pick phone respond clearli understand receiv clearli hear want respond divert anoth number chang bank sure,"['horrible', 'telephone', 'service', 'employee', 'pick', 'phone', 'responded', 'clearly', 'understand', 'receiver', 'clearly', 'hear', 'want', 'respond', 'divert', 'another', 'number', 'changed', 'bank', 'sure']","['horrible', 'telephone', 'service', 'employee', 'pick', 'phone', 'respond', 'clearly', 'understand', 'receiver', 'clearly', 'hear', 'want', 'respond', 'divert', 'another', 'number', 'change', 'bank', 'sure']"
