,author,date,review,rating,cleaned_review,Reviews_Token,Reviews_Lemm
24,Bill Edwards,3 years ago,wow trying get year old sons lost bankcard issued pulled health card instead licence brown lady teller loudly told dollar fine bringing healthcard bank asked write sons name paper asked sons name moron scotiabank branch idiots go flourish,1,wow tri get year old son lost bankcard issu pull health card instead licenc brown ladi teller loudli told dollar fine bring healthcard bank ask write son name paper ask son name moron scotiabank branch idiot go flourish,"['wow', 'trying', 'get', 'year', 'old', 'sons', 'lost', 'bankcard', 'issued', 'pulled', 'health', 'card', 'instead', 'licence', 'brown', 'lady', 'teller', 'loudly', 'told', 'dollar', 'fine', 'bringing', 'healthcard', 'bank', 'asked', 'write', 'sons', 'name', 'paper', 'asked', 'sons', 'name', 'moron', 'scotiabank', 'branch', 'idiots', 'go', 'flourish']","['wow', 'try', 'get', 'year', 'old', 'son', 'lose', 'bankcard', 'issue', 'pulled', 'health', 'card', 'instead', 'licence', 'brown', 'lady', 'teller', 'loudly', 'tell', 'dollar', 'fine', 'bring', 'healthcard', 'bank', 'ask', 'write', 'son', 'name', 'paper', 'ask', 'son', 'name', 'moron', 'scotiabank', 'branch', 'idiot', 'go', 'flourish']"
25,jinyuan cai,5 years ago,scotialbank really terrible bank hell closes pm busy working day wednesday employee bank bloor th location impatient even pm yet everyone wants leave right customer say sorry kept late addition made appointment pm see adviser told us adviser available suggested leave book another time comparison td much better matter operational efficiency attitude toward custoemrs strongly encourage people come branch think banks making decision terrible day scotialbank star sure,1,scotialbank realli terribl bank hell close pm busi work day wednesday employe bank bloor th locat impati even pm yet everyon want leav right custom say sorri kept late addit made appoint pm see advis told us advis avail suggest leav book anoth time comparison td much better matter oper effici attitud toward custoemr strongli encourag peopl come branch think bank make decis terribl day scotialbank star sure,"['scotialbank', 'really', 'terrible', 'bank', 'hell', 'closes', 'pm', 'busy', 'working', 'day', 'wednesday', 'employee', 'bank', 'bloor', 'th', 'location', 'impatient', 'even', 'pm', 'yet', 'everyone', 'wants', 'leave', 'right', 'customer', 'say', 'sorry', 'kept', 'late', 'addition', 'made', 'appointment', 'pm', 'see', 'adviser', 'told', 'us', 'adviser', 'available', 'suggested', 'leave', 'book', 'another', 'time', 'comparison', 'td', 'much', 'better', 'matter', 'operational', 'efficiency', 'attitude', 'toward', 'custoemrs', 'strongly', 'encourage', 'people', 'come', 'branch', 'think', 'banks', 'making', 'decision', 'terrible', 'day', 'scotialbank', 'star', 'sure']","['scotialbank', 'really', 'terrible', 'bank', 'hell', 'close', 'pm', 'busy', 'work', 'day', 'wednesday', 'employee', 'bank', 'bloor', 'th', 'location', 'impatient', 'even', 'pm', 'yet', 'everyone', 'want', 'leave', 'right', 'customer', 'say', 'sorry', 'keep', 'late', 'addition', 'make', 'appointment', 'pm', 'see', 'adviser', 'tell', 'us', 'adviser', 'available', 'suggest', 'leave', 'book', 'another', 'time', 'comparison', 'td', 'much', 'well', 'matter', 'operational', 'efficiency', 'attitude', 'toward', 'custoemrs', 'strongly', 'encourage', 'people', 'come', 'branch', 'think', 'bank', 'make', 'decision', 'terrible', 'day', 'scotialbank', 'star', 'sure']"
26,Jose Ceron,3 years ago,went confirm student enrollment student account get back bank charges student account done another scotiabank told go another branch branch understand rude customer service,1,went confirm student enrol student account get back bank charg student account done anoth scotiabank told go anoth branch branch understand rude custom servic,"['went', 'confirm', 'student', 'enrollment', 'student', 'account', 'get', 'back', 'bank', 'charges', 'student', 'account', 'done', 'another', 'scotiabank', 'told', 'go', 'another', 'branch', 'branch', 'understand', 'rude', 'customer', 'service']","['go', 'confirm', 'student', 'enrollment', 'student', 'account', 'get', 'back', 'bank', 'charge', 'student', 'account', 'do', 'another', 'scotiabank', 'tell', 'go', 'another', 'branch', 'branch', 'understand', 'rude', 'customer', 'service']"
27,Kameron -,7 years ago,absolute fail x unacommodating barely competitive much less unfriendly approachable mostly home branch told scotia need get branches aligned telephone services understanding products disappointing certainly renewing mortgage,1,absolut fail x unacommod bare competit much less unfriendli approach mostli home branch told scotia need get branch align telephon servic understand product disappoint certainli renew mortgag,"['absolute', 'fail', 'x', 'unacommodating', 'barely', 'competitive', 'much', 'less', 'unfriendly', 'approachable', 'mostly', 'home', 'branch', 'told', 'scotia', 'need', 'get', 'branches', 'aligned', 'telephone', 'services', 'understanding', 'products', 'disappointing', 'certainly', 'renewing', 'mortgage']","['absolute', 'fail', 'x', 'unacommodating', 'barely', 'competitive', 'much', 'less', 'unfriendly', 'approachable', 'mostly', 'home', 'branch', 'tell', 'scotia', 'need', 'get', 'branch', 'align', 'telephone', 'service', 'understanding', 'product', 'disappoint', 'certainly', 'renew', 'mortgage']"
28,RoadRunner - 855,3 years ago,never issue lost id still helped replace debit card took answer security questions end treated good got wanted,5,never issu lost id still help replac debit card took answer secur question end treat good got want,"['never', 'issue', 'lost', 'id', 'still', 'helped', 'replace', 'debit', 'card', 'took', 'answer', 'security', 'questions', 'end', 'treated', 'good', 'got', 'wanted']","['never', 'issue', 'lose', 'id', 'still', 'help', 'replace', 'debit', 'card', 'take', 'answer', 'security', 'question', 'end', 'treat', 'good', 'got', 'want']"
29,Indranil Dutta,3 years ago,worst service ever experienced brown lady front desk knows nothing went open account said visit adviser multiple documents already opened account online mail clearly states one like pr driver license fine never going back,1,worst servic ever experienc brown ladi front desk know noth went open account said visit advis multipl document alreadi open account onlin mail clearli state one like pr driver licens fine never go back,"['worst', 'service', 'ever', 'experienced', 'brown', 'lady', 'front', 'desk', 'knows', 'nothing', 'went', 'open', 'account', 'said', 'visit', 'adviser', 'multiple', 'documents', 'already', 'opened', 'account', 'online', 'mail', 'clearly', 'states', 'one', 'like', 'pr', 'driver', 'license', 'fine', 'never', 'going', 'back']","['bad', 'service', 'ever', 'experience', 'brown', 'lady', 'front', 'desk', 'know', 'nothing', 'go', 'open', 'account', 'say', 'visit', 'adviser', 'multiple', 'document', 'already', 'open', 'account', 'online', 'mail', 'clearly', 'state', 'one', 'like', 'pr', 'driver', 'license', 'fine', 'never', 'go', 'back']"
30,Miss Miminis,5 years ago,many stories fit one review tellers sooooo stupid boarder line retarded men fine lady tellers count read even banking laundry list personal experiences could tell,1,mani stori fit one review teller sooooo stupid boarder line retard men fine ladi teller count read even bank laundri list person experi could tell,"['many', 'stories', 'fit', 'one', 'review', 'tellers', 'sooooo', 'stupid', 'boarder', 'line', 'retarded', 'men', 'fine', 'lady', 'tellers', 'count', 'read', 'even', 'banking', 'laundry', 'list', 'personal', 'experiences', 'could', 'tell']","['many', 'story', 'fit', 'one', 'review', 'teller', 'sooooo', 'stupid', 'boarder', 'line', 'retard', 'men', 'fine', 'lady', 'teller', 'count', 'read', 'even', 'bank', 'laundry', 'list', 'personal', 'experience', 'could', 'tell']"
31,Krunal Pandit,4 years ago,branch convenient location offers quick efficient service branch manager accommodative new customers even meeting scheduled specific service always want go branch employees humble efficient time,5,branch conveni locat offer quick effici servic branch manag accommod new custom even meet schedul specif servic alway want go branch employe humbl effici time,"['branch', 'convenient', 'location', 'offers', 'quick', 'efficient', 'service', 'branch', 'manager', 'accommodative', 'new', 'customers', 'even', 'meeting', 'scheduled', 'specific', 'service', 'always', 'want', 'go', 'branch', 'employees', 'humble', 'efficient', 'time']","['branch', 'convenient', 'location', 'offer', 'quick', 'efficient', 'service', 'branch', 'manager', 'accommodative', 'new', 'customer', 'even', 'meet', 'schedule', 'specific', 'service', 'always', 'want', 'go', 'branch', 'employee', 'humble', 'efficient', 'time']"
32,Stive Scotish,5 years ago,complaint staff told manager best solve problem gave bad one star clerk female unable give two stars although manager conduct really five star,2,complaint staff told manag best solv problem gave bad one star clerk femal unabl give two star although manag conduct realli five star,"['complaint', 'staff', 'told', 'manager', 'best', 'solve', 'problem', 'gave', 'bad', 'one', 'star', 'clerk', 'female', 'unable', 'give', 'two', 'stars', 'although', 'manager', 'conduct', 'really', 'five', 'star']","['complaint', 'staff', 'tell', 'manager', 'best', 'solve', 'problem', 'give', 'bad', 'one', 'star', 'clerk', 'female', 'unable', 'give', 'two', 'star', 'although', 'manager', 'conduct', 'really', 'five', 'star']"
34,Hann Ben,6 years ago,guest japanese young student came branch april deposited without envelope money never reached account envelop contacted branch many times supervisor olga took information said act june sept never solved disappointing tourist needs compensated contact branch manager next step extremely poor handling bank gave japanese visitor bad experience cant speak proper english helped thus far bank help solve error made also gave lot stress financial loss emotional stress bad reputation etc bad branch,1,guest japanes young student came branch april deposit without envelop money never reach account envelop contact branch mani time supervisor olga took inform said act june sept never solv disappoint tourist need compens contact branch manag next step extrem poor handl bank gave japanes visitor bad experi cant speak proper english help thu far bank help solv error made also gave lot stress financi loss emot stress bad reput etc bad branch,"['guest', 'japanese', 'young', 'student', 'came', 'branch', 'april', 'deposited', 'without', 'envelope', 'money', 'never', 'reached', 'account', 'envelop', 'contacted', 'branch', 'many', 'times', 'supervisor', 'olga', 'took', 'information', 'said', 'act', 'june', 'sept', 'never', 'solved', 'disappointing', 'tourist', 'needs', 'compensated', 'contact', 'branch', 'manager', 'next', 'step', 'extremely', 'poor', 'handling', 'bank', 'gave', 'japanese', 'visitor', 'bad', 'experience', 'cant', 'speak', 'proper', 'english', 'helped', 'thus', 'far', 'bank', 'help', 'solve', 'error', 'made', 'also', 'gave', 'lot', 'stress', 'financial', 'loss', 'emotional', 'stress', 'bad', 'reputation', 'etc', 'bad', 'branch']","['guest', 'japanese', 'young', 'student', 'come', 'branch', 'april', 'deposit', 'without', 'envelope', 'money', 'never', 'reach', 'account', 'envelop', 'contact', 'branch', 'many', 'time', 'supervisor', 'olga', 'take', 'information', 'say', 'act', 'june', 'sept', 'never', 'solve', 'disappointing', 'tourist', 'need', 'compensate', 'contact', 'branch', 'manager', 'next', 'step', 'extremely', 'poor', 'handle', 'bank', 'give', 'japanese', 'visitor', 'bad', 'experience', 'cant', 'speak', 'proper', 'english', 'help', 'thus', 'far', 'bank', 'help', 'solve', 'error', 'make', 'also', 'give', 'lot', 'stress', 'financial', 'loss', 'emotional', 'stress', 'bad', 'reputation', 'etc', 'bad', 'branch']"
35,Lisa Jackson,a year ago,worst banking experience ever went thursday morning cash clearly stated overdrawn pay electric bill lady put money account resorted people around one computer waited one hr half try fix problem leave tell come back time came back electric cut mistake cost reconnection fee bank always go certified nightmare experience would definitely try pre warn anywhere goto another bank,1,worst bank experi ever went thursday morn cash clearli state overdrawn pay electr bill ladi put money account resort peopl around one comput wait one hr half tri fix problem leav tell come back time came back electr cut mistak cost reconnect fee bank alway go certifi nightmar experi would definit tri pre warn anywher goto anoth bank,"['worst', 'banking', 'experience', 'ever', 'went', 'thursday', 'morning', 'cash', 'clearly', 'stated', 'overdrawn', 'pay', 'electric', 'bill', 'lady', 'put', 'money', 'account', 'resorted', 'people', 'around', 'one', 'computer', 'waited', 'one', 'hr', 'half', 'try', 'fix', 'problem', 'leave', 'tell', 'come', 'back', 'time', 'came', 'back', 'electric', 'cut', 'mistake', 'cost', 'reconnection', 'fee', 'bank', 'always', 'go', 'certified', 'nightmare', 'experience', 'would', 'definitely', 'try', 'pre', 'warn', 'anywhere', 'goto', 'another', 'bank']","['worst', 'banking', 'experience', 'ever', 'go', 'thursday', 'morning', 'cash', 'clearly', 'state', 'overdrawn', 'pay', 'electric', 'bill', 'lady', 'put', 'money', 'account', 'resort', 'people', 'around', 'one', 'computer', 'wait', 'one', 'hr', 'half', 'try', 'fix', 'problem', 'leave', 'tell', 'come', 'back', 'time', 'come', 'back', 'electric', 'cut', 'mistake', 'cost', 'reconnection', 'fee', 'bank', 'always', 'go', 'certified', 'nightmare', 'experience', 'would', 'definitely', 'try', 'pre', 'warn', 'anywhere', 'goto', 'another', 'bank']"
36,H,4 years ago,hate scotiabank waiting weeks payment reversal international phone people said would completed one week everything moves slower scotiabank compared rbc moving everything bank nova scotia rbc near future help people branches miserable make effort assist,1,hate scotiabank wait week payment revers intern phone peopl said would complet one week everyth move slower scotiabank compar rbc move everyth bank nova scotia rbc near futur help peopl branch miser make effort assist,"['hate', 'scotiabank', 'waiting', 'weeks', 'payment', 'reversal', 'international', 'phone', 'people', 'said', 'would', 'completed', 'one', 'week', 'everything', 'moves', 'slower', 'scotiabank', 'compared', 'rbc', 'moving', 'everything', 'bank', 'nova', 'scotia', 'rbc', 'near', 'future', 'help', 'people', 'branches', 'miserable', 'make', 'effort', 'assist']","['hate', 'scotiabank', 'wait', 'week', 'payment', 'reversal', 'international', 'phone', 'people', 'say', 'would', 'complete', 'one', 'week', 'everything', 'move', 'slow', 'scotiabank', 'compare', 'rbc', 'move', 'everything', 'bank', 'nova', 'scotia', 'rbc', 'near', 'future', 'help', 'people', 'branch', 'miserable', 'make', 'effort', 'assist']"
37,Liam Wilkinson,5 years ago,expect long lines peak hours ill informed staff branch seems unique uneducated intransigence staff might account seemingly high turnover among tellers poor excuse given experience extremely straightforward requests,1,expect long line peak hour ill inform staff branch seem uniqu uneduc intransig staff might account seemingli high turnov among teller poor excus given experi extrem straightforward request,"['expect', 'long', 'lines', 'peak', 'hours', 'ill', 'informed', 'staff', 'branch', 'seems', 'unique', 'uneducated', 'intransigence', 'staff', 'might', 'account', 'seemingly', 'high', 'turnover', 'among', 'tellers', 'poor', 'excuse', 'given', 'experience', 'extremely', 'straightforward', 'requests']","['expect', 'long', 'line', 'peak', 'hour', 'ill', 'informed', 'staff', 'branch', 'seem', 'unique', 'uneducated', 'intransigence', 'staff', 'might', 'account', 'seemingly', 'high', 'turnover', 'among', 'teller', 'poor', 'excuse', 'give', 'experience', 'extremely', 'straightforward', 'request']"
38,Das Dastan,3 years ago,advice see star rating go learned hard way moment walked time left bank almost hours one inconvenient answer shocked day see businesses like running country wait time front desk area real feel temperature celsius outside every minute door opened like torture,1,advic see star rate go learn hard way moment walk time left bank almost hour one inconveni answer shock day see busi like run countri wait time front desk area real feel temperatur celsiu outsid everi minut door open like tortur,"['advice', 'see', 'star', 'rating', 'go', 'learned', 'hard', 'way', 'moment', 'walked', 'time', 'left', 'bank', 'almost', 'hours', 'one', 'inconvenient', 'answer', 'shocked', 'day', 'see', 'businesses', 'like', 'running', 'country', 'wait', 'time', 'front', 'desk', 'area', 'real', 'feel', 'temperature', 'celsius', 'outside', 'every', 'minute', 'door', 'opened', 'like', 'torture']","['advice', 'see', 'star', 'rating', 'go', 'learn', 'hard', 'way', 'moment', 'walk', 'time', 'leave', 'bank', 'almost', 'hour', 'one', 'inconvenient', 'answer', 'shock', 'day', 'see', 'business', 'like', 'run', 'country', 'wait', 'time', 'front', 'desk', 'area', 'real', 'feel', 'temperature', 'celsius', 'outside', 'every', 'minute', 'door', 'open', 'like', 'torture']"
39,matt yang,3 years ago,went branches advisor sure lazing around listened reviews stop business bmo mind take money go td,1,went branch advisor sure laze around listen review stop busi bmo mind take money go td,"['went', 'branches', 'advisor', 'sure', 'lazing', 'around', 'listened', 'reviews', 'stop', 'business', 'bmo', 'mind', 'take', 'money', 'go', 'td']","['go', 'branch', 'advisor', 'sure', 'laze', 'around', 'listen', 'review', 'stop', 'business', 'bmo', 'mind', 'take', 'money', 'go', 'td']"
40,Sagar Rajgor,7 months ago,useless teller pathetic service branch feel like close accounts credit scotiabank,1,useless teller pathet servic branch feel like close account credit scotiabank,"['useless', 'teller', 'pathetic', 'service', 'branch', 'feel', 'like', 'close', 'accounts', 'credit', 'scotiabank']","['useless', 'teller', 'pathetic', 'service', 'branch', 'feel', 'like', 'close', 'account', 'credit', 'scotiabank']"
41,Kihuahua,a month ago,horrible service manager refused help request,1,horribl servic manag refus help request,"['horrible', 'service', 'manager', 'refused', 'help', 'request']","['horrible', 'service', 'manager', 'refuse', 'help', 'request']"
42,Michael Zavarella,4 years ago,customer years offer great service great products always safe secure sponsor many wonderful things city country really switch bank even though may closer top realtor yorkville need company trust company,5,custom year offer great servic great product alway safe secur sponsor mani wonder thing citi countri realli switch bank even though may closer top realtor yorkvil need compani trust compani,"['customer', 'years', 'offer', 'great', 'service', 'great', 'products', 'always', 'safe', 'secure', 'sponsor', 'many', 'wonderful', 'things', 'city', 'country', 'really', 'switch', 'bank', 'even', 'though', 'may', 'closer', 'top', 'realtor', 'yorkville', 'need', 'company', 'trust', 'company']","['customer', 'year', 'offer', 'great', 'service', 'great', 'product', 'always', 'safe', 'secure', 'sponsor', 'many', 'wonderful', 'thing', 'city', 'country', 'really', 'switch', 'bank', 'even', 'though', 'may', 'closer', 'top', 'realtor', 'yorkville', 'need', 'company', 'trust', 'company']"
43,A J,10 months ago,unprofessional staff covid excuse employee feels accountable service provide,1,unprofession staff covid excus employe feel account servic provid,"['unprofessional', 'staff', 'covid', 'excuse', 'employee', 'feels', 'accountable', 'service', 'provide']","['unprofessional', 'staff', 'covid', 'excuse', 'employee', 'feel', 'accountable', 'service', 'provide']"
45,Lin Yen Chin,2 years ago,elder tellers perceptive patient assist best ofnthe younger ones got similar ability,5,elder teller percept patient assist best ofnth younger one got similar abil,"['elder', 'tellers', 'perceptive', 'patient', 'assist', 'best', 'ofnthe', 'younger', 'ones', 'got', 'similar', 'ability']","['elder', 'teller', 'perceptive', 'patient', 'assist', 'best', 'ofnthe', 'young', 'one', 'get', 'similar', 'ability']"
46,A L,2 years ago,extremely poor customer service unprofessional took mins get paperwork took less mins td rbc across street,1,extrem poor custom servic unprofession took min get paperwork took less min td rbc across street,"['extremely', 'poor', 'customer', 'service', 'unprofessional', 'took', 'mins', 'get', 'paperwork', 'took', 'less', 'mins', 'td', 'rbc', 'across', 'street']","['extremely', 'poor', 'customer', 'service', 'unprofessional', 'take', 'min', 'get', 'paperwork', 'take', 'less', 'min', 'td', 'rbc', 'across', 'street']"
47,Ramjee S,2 years ago,slowest bank employees need know lot people come quick banking work place need head back work really super slow competition,1,slowest bank employe need know lot peopl come quick bank work place need head back work realli super slow competit,"['slowest', 'bank', 'employees', 'need', 'know', 'lot', 'people', 'come', 'quick', 'banking', 'work', 'place', 'need', 'head', 'back', 'work', 'really', 'super', 'slow', 'competition']","['slow', 'bank', 'employee', 'need', 'know', 'lot', 'people', 'come', 'quick', 'banking', 'work', 'place', 'need', 'head', 'back', 'work', 'really', 'super', 'slow', 'competition']"
48,Medha Sharma,4 years ago,employees particular branch take customers seriously went branch update account information month back however still updated charged bank didnt necessary update,1,employe particular branch take custom serious went branch updat account inform month back howev still updat charg bank didnt necessari updat,"['employees', 'particular', 'branch', 'take', 'customers', 'seriously', 'went', 'branch', 'update', 'account', 'information', 'month', 'back', 'however', 'still', 'updated', 'charged', 'bank', 'didnt', 'necessary', 'update']","['employee', 'particular', 'branch', 'take', 'customer', 'seriously', 'go', 'branch', 'update', 'account', 'information', 'month', 'back', 'however', 'still', 'update', 'charge', 'bank', 'didnt', 'necessary', 'update']"
49,Jonathan Pratt,a year ago,went reversed nsf charge said worst bank canada bank,1,went revers nsf charg said worst bank canada bank,"['went', 'reversed', 'nsf', 'charge', 'said', 'worst', 'bank', 'canada', 'bank']","['go', 'reversed', 'nsf', 'charge', 'say', 'bad', 'bank', 'canada', 'bank']"
50,Ann A,3 years ago,st visit financial advisor met well trained nd visit visited branch location open pm arrived pm financial advisor branch,1,st visit financi advisor met well train nd visit visit branch locat open pm arriv pm financi advisor branch,"['st', 'visit', 'financial', 'advisor', 'met', 'well', 'trained', 'nd', 'visit', 'visited', 'branch', 'location', 'open', 'pm', 'arrived', 'pm', 'financial', 'advisor', 'branch']","['st', 'visit', 'financial', 'advisor', 'meet', 'well', 'train', 'nd', 'visit', 'visit', 'branch', 'location', 'open', 'pm', 'arrive', 'pm', 'financial', 'advisor', 'branch']"
51,W H,3 years ago,came use abm sunday closed pm abm machines work left many others distressed upset impressed,1,came use abm sunday close pm abm machin work left mani other distress upset impress,"['came', 'use', 'abm', 'sunday', 'closed', 'pm', 'abm', 'machines', 'work', 'left', 'many', 'others', 'distressed', 'upset', 'impressed']","['come', 'use', 'abm', 'sunday', 'close', 'pm', 'abm', 'machine', 'work', 'left', 'many', 'others', 'distress', 'upset', 'impress']"
52,Dina d,2 years ago,terrible terrible terrible wish bank exists probably worst bank canada open business bank account,1,terribl terribl terribl wish bank exist probabl worst bank canada open busi bank account,"['terrible', 'terrible', 'terrible', 'wish', 'bank', 'exists', 'probably', 'worst', 'bank', 'canada', 'open', 'business', 'bank', 'account']","['terrible', 'terrible', 'terrible', 'wish', 'bank', 'exist', 'probably', 'bad', 'bank', 'canada', 'open', 'business', 'bank', 'account']"
53,Grey Byun,5 years ago,today got full support bank nothing desired today finally happy scotiabank,5,today got full support bank noth desir today final happi scotiabank,"['today', 'got', 'full', 'support', 'bank', 'nothing', 'desired', 'today', 'finally', 'happy', 'scotiabank']","['today', 'get', 'full', 'support', 'bank', 'nothing', 'desire', 'today', 'finally', 'happy', 'scotiabank']"
54,Amir “Oveis” Honarmand,3 years ago,teller kelly kept intrupting give irrelevant advice frustrating someone pretending help without listening see,1,teller kelli kept intrupt give irrelev advic frustrat someon pretend help without listen see,"['teller', 'kelly', 'kept', 'intrupting', 'give', 'irrelevant', 'advice', 'frustrating', 'someone', 'pretending', 'help', 'without', 'listening', 'see']","['teller', 'kelly', 'keep', 'intrupting', 'give', 'irrelevant', 'advice', 'frustrate', 'someone', 'pretend', 'help', 'without', 'listen', 'see']"
56,Sam Sapson,2 years ago,worst customer service jestina older brown lady needs get fired lesson respect customer service wont back,1,worst custom servic jestina older brown ladi need get fire lesson respect custom servic wont back,"['worst', 'customer', 'service', 'jestina', 'older', 'brown', 'lady', 'needs', 'get', 'fired', 'lesson', 'respect', 'customer', 'service', 'wont', 'back']","['worst', 'customer', 'service', 'jestina', 'old', 'brown', 'lady', 'need', 'get', 'fire', 'lesson', 'respect', 'customer', 'service', 'wont', 'back']"
57,Dallas Pokornik,3 years ago,hours sorta suck major bank middle downtown toronto let alone th largest city north america,2,hour sorta suck major bank middl downtown toronto let alon th largest citi north america,"['hours', 'sorta', 'suck', 'major', 'bank', 'middle', 'downtown', 'toronto', 'let', 'alone', 'th', 'largest', 'city', 'north', 'america']","['hour', 'sorta', 'suck', 'major', 'bank', 'middle', 'downtown', 'toronto', 'let', 'alone', 'th', 'large', 'city', 'north', 'america']"
58,Justin Park,a year ago,worst customer service ever know many people feel like,1,worst custom servic ever know mani peopl feel like,"['worst', 'customer', 'service', 'ever', 'know', 'many', 'people', 'feel', 'like']","['worst', 'customer', 'service', 'ever', 'know', 'many', 'people', 'feel', 'like']"
59,LIFENG CAO,4 years ago,customer service bad wanna open account ask wait pm hours waiting time,1,custom servic bad wanna open account ask wait pm hour wait time,"['customer', 'service', 'bad', 'wanna', 'open', 'account', 'ask', 'wait', 'pm', 'hours', 'waiting', 'time']","['customer', 'service', 'bad', 'wanna', 'open', 'account', 'ask', 'wait', 'pm', 'hour', 'wait', 'time']"
60,Cuong Tran,a year ago,dont bother going clerks condescending incompetent,1,dont bother go clerk condescend incompet,"['dont', 'bother', 'going', 'clerks', 'condescending', 'incompetent']","['dont', 'bother', 'go', 'clerk', 'condescend', 'incompetent']"
61,Colin Fisher,5 years ago,scotia garbage bank worst customer service raging incompetence,1,scotia garbag bank worst custom servic rage incompet,"['scotia', 'garbage', 'bank', 'worst', 'customer', 'service', 'raging', 'incompetence']","['scotia', 'garbage', 'bank', 'bad', 'customer', 'service', 'rag', 'incompetence']"
62,Aiden Carnegie,10 months ago,choose another bank go,1,choos anoth bank go,"['choose', 'another', 'bank', 'go']","['choose', 'another', 'bank', 'go']"
63,Mattison Chinneck,6 years ago,transferring money wrong account months lines always long stay away,1,transfer money wrong account month line alway long stay away,"['transferring', 'money', 'wrong', 'account', 'months', 'lines', 'always', 'long', 'stay', 'away']","['transfer', 'money', 'wrong', 'account', 'month', 'line', 'always', 'long', 'stay', 'away']"
64,Yolly Guan,10 months ago,staff extremely rude never coming back,1,staff extrem rude never come back,"['staff', 'extremely', 'rude', 'never', 'coming', 'back']","['staff', 'extremely', 'rude', 'never', 'come', 'back']"
65,norm wright,3 years ago,friendly accommodating staff always pleasure visit location,5,friendli accommod staff alway pleasur visit locat,"['friendly', 'accommodating', 'staff', 'always', 'pleasure', 'visit', 'location']","['friendly', 'accommodate', 'staff', 'always', 'pleasure', 'visit', 'location']"
67,Cam Aziz,3 years ago,opens closes must unionized hours,2,open close must union hour,"['opens', 'closes', 'must', 'unionized', 'hours']","['opens', 'close', 'must', 'unionize', 'hour']"
68,Bindhya Sandeep,a year ago,bad rude customer service,1,bad rude custom servic,"['bad', 'rude', 'customer', 'service']","['bad', 'rude', 'customer', 'service']"
69,Nikola Simokovic,3 years ago,incredibly incompetent staff start finish,1,incred incompet staff start finish,"['incredibly', 'incompetent', 'staff', 'start', 'finish']","['incredibly', 'incompetent', 'staff', 'start', 'finish']"
70,Derek Sutton,3 years ago,impressive branch helpful staff,5,impress branch help staff,"['impressive', 'branch', 'helpful', 'staff']","['impressive', 'branch', 'helpful', 'staff']"
71,Harper T-W,3 years ago,would give stars possible,1,would give star possibl,"['would', 'give', 'stars', 'possible']","['would', 'give', 'star', 'possible']"
72,Robert Paterson,5 years ago,always slow close early,3,alway slow close earli,"['always', 'slow', 'close', 'early']","['always', 'slow', 'close', 'early']"
73,Neil O'Keeffe,6 years ago,new levels incompetence avoid costs,1,new level incompet avoid cost,"['new', 'levels', 'incompetence', 'avoid', 'costs']","['new', 'level', 'incompetence', 'avoid', 'cost']"
74,Tiffanie Rolo,5 years ago,worst service refused help,1,worst servic refus help,"['worst', 'service', 'refused', 'help']","['bad', 'service', 'refuse', 'help']"
75,E Emily Pyfrom,5 years ago,worst branch ever,1,worst branch ever,"['worst', 'branch', 'ever']","['bad', 'branch', 'ever']"
76,Alexey Vasilenko,a year ago,staff rude,1,staff rude,"['staff', 'rude']","['staff', 'rude']"
78,Daniel Frohlich,5 months ago,mom dealt manager gave mother great service needed help resolved minutes,5,mom dealt manag gave mother great servic need help resolv minut,"['mom', 'dealt', 'manager', 'gave', 'mother', 'great', 'service', 'needed', 'help', 'resolved', 'minutes']","['mom', 'dealt', 'manager', 'give', 'mother', 'great', 'service', 'need', 'help', 'resolve', 'minute']"
79,Hannah Banana,a year ago,unfortunately writing review older lady wears wig rest staff unhelpful condescending dismissive body language lacks huge amount professionalism talks high breathy innocent sounding voice disguise rudeness would recommend one else rest employees kind helpful location open later helpful us work banking hours,2,unfortun write review older ladi wear wig rest staff unhelp condescend dismiss bodi languag lack huge amount profession talk high breathi innoc sound voic disguis rude would recommend one els rest employe kind help locat open later help us work bank hour,"['unfortunately', 'writing', 'review', 'older', 'lady', 'wears', 'wig', 'rest', 'staff', 'unhelpful', 'condescending', 'dismissive', 'body', 'language', 'lacks', 'huge', 'amount', 'professionalism', 'talks', 'high', 'breathy', 'innocent', 'sounding', 'voice', 'disguise', 'rudeness', 'would', 'recommend', 'one', 'else', 'rest', 'employees', 'kind', 'helpful', 'location', 'open', 'later', 'helpful', 'us', 'work', 'banking', 'hours']","['unfortunately', 'write', 'review', 'old', 'lady', 'wear', 'wig', 'rest', 'staff', 'unhelpful', 'condescend', 'dismissive', 'body', 'language', 'lack', 'huge', 'amount', 'professionalism', 'talk', 'high', 'breathy', 'innocent', 'sound', 'voice', 'disguise', 'rudeness', 'would', 'recommend', 'one', 'else', 'rest', 'employee', 'kind', 'helpful', 'location', 'open', 'later', 'helpful', 'us', 'work', 'banking', 'hour']"
